,p,checkpoint,train_error,Demographic_Parity,Equal_Opportunity,Equal_Odds,Overall_accuracy
156,0.35000000000000003,500.0,0.17802124833997343,0.16232252968679764,0.11861758854277638,0.19253507711942075,0.12374281654227925
157,0.35000000000000003,1000.0,0.16806108897742364,0.15253070721376832,0.05253188670957265,0.1161665197331262,0.11681453807535236
158,0.35000000000000003,500.0,0.1811420982735724,0.23334066366685322,0.4334147697056695,0.5448187739241692,0.11538473188280451
159,0.35000000000000003,1000.0,0.1691899070385126,0.21849642737009195,0.286880137731621,0.3923965185062957,0.11939618886712966
160,0.4,500.0,0.17649402390438246,0.17151050732734802,0.0818255608913484,0.16556073727488163,0.12540334469819203
161,0.4,1000.0,0.16799468791500663,0.1890873405795382,0.14259495467686023,0.23023843165630103,0.11520552217834434
162,0.4,500.0,0.1750996015936255,0.1795518557842901,0.25326692756009045,0.3311716431653409,0.1203128382811346
163,0.4,1000.0,0.16739707835325365,0.19731074716024127,0.17909223483149989,0.2728081961685608,0.11915204723818562
164,0.4,500.0,0.18266932270916333,0.2455493699166121,0.2686554887296211,0.4046859821273332,0.12671419929599514
165,0.4,1000.0,0.1693891102257636,0.189585994490796,0.09014418065051227,0.18539946963925236,0.12422323655815393
166,0.4,500.0,0.17098273572377157,0.1816722030643736,0.1200507696851057,0.20485263287334554,0.11752568005459174
167,0.4,1000.0,0.1702523240371846,0.19189828912502999,0.13993594382889563,0.2328985641654841,0.12036882376189895
168,0.4,500.0,0.17363877822045154,0.17533130075213715,0.12898116186492914,0.21133368349890025,0.12328028941384372
169,0.4,1000.0,0.17377158034528553,0.16808303647755965,0.10639185080292995,0.1828623865954116,0.12015436988341399
170,0.4,500.0,0.1752988047808765,0.18613493391496716,0.2239058498809871,0.3104413413409373,0.123931514291312
171,0.4,1000.0,0.17051792828685258,0.20500920209938128,0.2294066607222114,0.3283215402689376,0.12106512186590879
172,0.4,500.0,0.1695219123505976,0.1627475058227608,0.13707072397639508,0.20707768313760372,0.12260778162878272
173,0.4,1000.0,0.1691899070385126,0.17354110934016548,0.1556152539826613,0.23356729922612435,0.1233233968298818
174,0.4,500.0,0.1747675962815405,0.18836636954778196,0.17577346941223576,0.2671490391378392,0.12495566144498593
175,0.4,1000.0,0.1689907038512616,0.1652701221215645,0.09087019628698123,0.16458892660453828,0.1206109995803395
176,0.4,500.0,0.17848605577689244,0.22830397632714824,0.26938150436609015,0.391375679018486,0.13017244109794857
177,0.4,1000.0,0.17217795484727755,0.20802958970064536,0.20770387701489335,0.3121392803184758,0.12413309010507079
178,0.4,500.0,0.18333333333333332,0.20791673613031925,0.23022407093132785,0.3418516126377855,0.1361583140214182
179,0.4,1000.0,0.17091633466135459,0.21206429540306648,0.2291113420093439,0.3360637380952221,0.12618782344478163
180,0.45,500.0,0.17065073041168657,0.18736797852356035,0.19345432070698276,0.2778842332481044,0.11582455189399732
181,0.45,1000.0,0.1698539176626826,0.21006053272140726,0.21524907020302736,0.3184806487474141,0.12007960890641345
182,0.45,500.0,0.1804116865869854,0.23927109271041158,0.4570951034786488,0.5710495327723647,0.11369648178693614
183,0.45,1000.0,0.1755644090305445,0.23752238391191915,0.43141551342900447,0.5421251748110089,0.10952316638473658
184,0.45,500.0,0.17091633466135459,0.1975014107197773,0.19259121321154243,0.286351882046195,0.11803131459906557
185,0.45,1000.0,0.17051792828685258,0.1538177714926225,0.03262443513869984,0.09962668336206848,0.11774209974358008
186,0.45,500.0,0.17636122177954847,0.18598934358197272,0.2489268277914901,0.33214203368983813,0.11886229078184718
187,0.45,1000.0,0.17237715803452855,0.18326352666685133,0.1862724209451227,0.271388416579783,0.12322037231207261
188,0.45,500.0,0.17609561752988048,0.25595683208514064,0.3732388694262877,0.5069883626976126,0.1202806431193193
189,0.45,1000.0,0.16885790172642762,0.223386782183041,0.2584964107637673,0.369200041222343,0.11860133946717022
190,0.45,500.0,0.1794156706507304,0.22277527470145705,0.3167638781230525,0.430510896093631,0.1270207654380665
191,0.45,1000.0,0.17377158034528553,0.22523404227748292,0.2757220028435136,0.39130255264347047,0.1252899495270129
192,0.45,500.0,0.1799468791500664,0.229620387348517,0.34426222016838304,0.46088992182541855,0.12388196784291072
193,0.45,1000.0,0.17065073041168657,0.2085422048783353,0.2453601545939197,0.3459939784248776,0.12035594569717278
194,0.45,500.0,0.17177954847277557,0.168840675892991,0.06637245230488548,0.14489481313346086,0.11961457436662137
195,0.45,1000.0,0.1705843293492696,0.19204835267988413,0.13970859982943484,0.2336203039638689,0.12206995192249348
196,0.45,500.0,0.1695219123505976,0.19745240587222904,0.19731802626565775,0.29084086694596684,0.11928475950645401
197,0.45,1000.0,0.17257636122177955,0.22060355557750488,0.2268847417332181,0.341493657325987,0.12623486248182647
198,0.45,500.0,0.1792164674634794,0.19050250348976497,0.31912585660991255,0.4034220399793528,0.1200790673055604
199,0.45,1000.0,0.17124833997343958,0.147919196602935,0.0735520672024293,0.1373355067062363,0.1266805799245294
