,p,checkpoint,train_error,demographic parity,equal odds,equal_opportunity,overall accuracy
0,1.0,500,0.35333333333333333,0.21333333333333332,0.42666666666666664,0.28,0.06666666666666676
1,1.0,1000,0.31,0.19333333333333333,0.3866666666666667,0.28,0.08666666666666667
0,1.0,500,0.3333333333333333,0.12000000000000002,0.23999999999999994,0.18666666666666665,0.06666666666666665
1,1.0,1000,0.29333333333333333,0.10666666666666669,0.21333333333333337,0.18666666666666665,0.08000000000000007
0,1.0,500,0.2833333333333333,0.11333333333333334,0.22666666666666668,0.13333333333333336,0.020000000000000018
1,1.0,1000,0.29333333333333333,0.06666666666666665,0.13333333333333341,0.0533333333333334,0.01333333333333342
0,1.0,500,0.3233333333333333,0.12666666666666665,0.25333333333333335,0.22666666666666668,0.09999999999999998
1,1.0,1000,0.31333333333333335,0.12000000000000002,0.24000000000000005,0.1866666666666667,0.06666666666666665
0,1.0,500,0.2866666666666667,0.21333333333333332,0.4266666666666667,0.32,0.10666666666666669
1,1.0,1000,0.2833333333333333,0.19333333333333333,0.38666666666666666,0.3066666666666667,0.11333333333333329
0,1.0,500,0.34,0.3066666666666667,0.6133333333333334,0.44000000000000006,0.1333333333333333
1,1.0,1000,0.31,0.23333333333333334,0.4666666666666667,0.31999999999999995,0.08666666666666667
